SiteID,Latitude,Longitude,CountyFIPS,SiteType,GridNodeID,PlantID,ZoningCode
Site_001,27.65185,-68.51499,52286,PowerPlant,Node_9384,Plant_616,COMMERCIAL
Site_002,47.06651,-90.17501,38550,BusStation,Node_3804,,COMMERCIAL
Site_003,46.80624,-118.02022,57210,TransmissionNode,Node_9805,,NO_DATA_CENTER
Site_004,29.43868,-82.01924,57835,BusStation,Node_3293,,INDUSTRIAL
Site_005,45.73999,-98.53938,27688,BusStation,Node_7857,,COMMERCIAL
Site_006,36.98191,-77.12384,37649,PowerPlant,Node_5215,nan,NO_DATA_CENTER
Site_007,41.26002,-94.74377,11765,PowerPlant,Node_3065,Plant_280,COMMERCIAL
Site_008,32.0504,-75.76312,41857,BusStation,Node_7397,,COMMERCIAL
Site_009,43.1147,-111.87967,41218,BusStation,Node_4134,,AGRICULTURAL
Site_010,35.75293,-96.42859,43123,BusStation,Node_9142,,RESIDENTIAL
Site_011,36.21956,-88.82918,59441,BusStation,Node_9674,,RESIDENTIAL
Site_012,42.82859,-88.57066,27052,BusStation,Node_5677,,INDUSTRIAL
Site_013,41.54036,-98.29828,10053,BusStation,Node_4846,,DATA_CENTER_OK
Site_014,40.23729,-123.81763,43424,TransmissionNode,Node_6748,,INDUSTRIAL
Site_015,26.2841,-88.53339,58671,TransmissionNode,Node_8135,,AGRICULTURAL
Site_016,40.43909,-77.28116,58986,TransmissionNode,Node_3461,,COMMERCIAL
Site_017,38.2289,-112.41889,19344,BusStation,Node_1857,,INDUSTRIAL
Site_018,29.97423,-66.56615,32059,PowerPlant,Node_3001,nan,AGRICULTURAL
Site_019,28.46348,-75.84005,22310,PowerPlant,Node_1743,nan,RESIDENTIAL
Site_020,44.55141,-117.35384,19865,TransmissionNode,Node_8835,,RESIDENTIAL
Site_021,44.11901,-96.08933,37336,TransmissionNode,Node_9834,,RESIDENTIAL
Site_022,37.10203,-75.0961,44654,PowerPlant,Node_3283,nan,DATA_CENTER_OK
Site_023,45.17547,-107.55833,51384,BusStation,Node_4037,,DATA_CENTER_OK
Site_024,26.64647,-84.55656,30904,PowerPlant,Node_5850,Plant_239,INDUSTRIAL
Site_025,45.28364,-109.1999,57004,PowerPlant,Node_1937,Plant_943,NO_DATA_CENTER
Site_026,42.26116,-85.22362,38043,BusStation,Node_9968,,AGRICULTURAL
Site_027,25.68594,-102.80943,41336,TransmissionNode,Node_5112,,COMMERCIAL
Site_028,29.04579,-76.43018,34975,PowerPlant,Node_5596,Plant_241,COMMERCIAL
Site_029,34.0836,-101.12166,48562,TransmissionNode,Node_5257,,INDUSTRIAL
Site_030,32.94695,-100.5174,45518,BusStation,Node_5658,,DATA_CENTER_OK
Site_031,25.84585,-67.95501,12130,TransmissionNode,Node_9457,,NO_DATA_CENTER
Site_032,31.2785,-108.00635,39198,TransmissionNode,Node_9634,,RESIDENTIAL
Site_033,38.65343,-107.50478,56509,TransmissionNode,Node_4412,,INDUSTRIAL
Site_034,33.82278,-83.65486,57484,BusStation,Node_6860,,INDUSTRIAL
Site_035,31.58617,-99.38308,54602,BusStation,Node_2624,,AGRICULTURAL
Site_036,32.1953,-85.98395,16304,BusStation,Node_8946,,DATA_CENTER_OK
Site_037,36.26961,-85.25141,19703,TransmissionNode,Node_8902,,INDUSTRIAL
Site_038,35.31542,-118.06576,38060,PowerPlant,Node_4331,nan,NO_DATA_CENTER
Site_039,32.76836,-118.81397,53783,BusStation,Node_9874,,RESIDENTIAL
Site_040,48.11696,-98.95148,12352,TransmissionNode,Node_8912,,INDUSTRIAL
Site_041,40.96197,-105.85088,39118,TransmissionNode,Node_2561,,INDUSTRIAL
Site_042,25.0732,-70.50316,36814,TransmissionNode,Node_3601,,INDUSTRIAL
Site_043,40.31407,-123.17794,59024,PowerPlant,Node_7163,Plant_507,DATA_CENTER_OK
Site_044,35.72532,-93.77166,16621,BusStation,Node_3226,,NO_DATA_CENTER
Site_045,26.11469,-110.95125,36850,TransmissionNode,Node_8675,,AGRICULTURAL
Site_046,31.92594,-112.80561,12029,BusStation,Node_1338,,INDUSTRIAL
Site_047,36.80974,-88.21458,19431,PowerPlant,Node_8745,Plant_877,AGRICULTURAL
Site_048,35.37538,-70.78781,31006,BusStation,Node_5282,,RESIDENTIAL
Site_049,26.7134,-67.46624,42394,TransmissionNode,Node_4999,,INDUSTRIAL
Site_050,42.4587,-93.59373,21717,BusStation,Node_5512,,AGRICULTURAL
