Latitude,Longitude,SurfaceWater_Availability,Groundwater_Availability,Water_Stress_Index,Potable_Population_Served,Potable_Capacity_MGD
24.0,-125.0,0.73,4.79,0.7,132896,3.08
24.0,-122.97,0.54,0.92,0.39,487329,67.13
24.0,-120.93,1.45,0.6,0.26,86406,27.77
24.0,-118.9,3.14,1.2,0.72,58176,5.02
24.0,-116.86,0.5,4.39,0.87,368595,57.04
24.0,-114.83,3.18,1.1,0.73,299288,25.1
24.0,-112.79,4.78,0.89,0.99,48369,69.35
24.0,-110.76,2.56,2.79,0.81,143192,16.75
24.0,-108.72,1.45,1.74,0.02,254387,3.35
24.0,-106.69,3.63,0.62,0.02,348797,12.9
24.0,-104.66,1.1,3.86,0.84,397973,22.12
24.0,-102.62,3.88,1.99,0.83,302516,82.32
24.0,-100.59,3.62,4.27,0.83,297859,62.13
24.0,-98.55,2.23,2.48,0.49,383509,70.46
24.0,-96.52,2.26,1.5,0.94,191475,7.14
24.0,-94.48,3.25,0.1,0.91,87813,64.82
24.0,-92.45,2.03,3.25,0.01,69829,62.19
24.0,-90.41,2.55,2.68,0.4,400275,42.87
24.0,-88.38,1.92,1.59,0.9,277596,47.24
24.0,-86.34,2.44,0.85,0.4,453372,72.04
24.0,-84.31,1.19,4.95,0.42,103532,81.98
24.0,-82.28,2.46,0.89,0.83,255223,87.25
24.0,-80.24,1.86,4.01,0.88,152035,8.5
24.0,-78.21,3.81,3.45,0.38,157291,80.67
24.0,-76.17,2.45,2.59,0.61,29336,35.88
24.0,-74.14,1.4,2.96,0.82,167726,16.29
24.0,-72.1,4.37,4.24,0.3,306164,75.41
24.0,-70.07,0.38,0.53,0.69,27682,6.66
24.0,-68.03,3.92,1.55,0.82,124864,27.51
24.0,-66.0,0.25,0.25,0.62,162255,25.84
25.0,-125.0,2.72,2.85,0.73,447532,59.41
25.0,-122.97,0.55,2.39,1.0,237483,84.47
25.0,-120.93,0.52,1.54,0.41,214557,52.92
25.0,-118.9,1.26,2.23,0.19,115313,38.78
25.0,-116.86,0.6,2.02,0.4,81089,14.03
25.0,-114.83,4.76,1.79,0.41,131196,84.02
25.0,-112.79,1.73,3.03,0.9,208762,96.72
25.0,-110.76,4.31,4.86,0.73,205000,29.51
25.0,-108.72,3.14,1.51,0.55,335705,81.02
25.0,-106.69,3.7,1.02,0.85,349476,39.9
25.0,-104.66,3.5,1.75,0.11,171700,31.04
25.0,-102.62,2.17,1.99,0.62,200232,33.45
25.0,-100.59,3.31,3.34,0.78,419546,49.59
25.0,-98.55,3.37,4.06,0.04,66095,92.87
25.0,-96.52,2.26,0.59,0.35,379995,98.26
25.0,-94.48,2.3,2.5,0.59,459633,11.38
25.0,-92.45,2.56,4.52,0.92,425496,44.71
25.0,-90.41,0.41,1.23,0.8,43604,33.13
25.0,-88.38,3.15,0.6,0.75,473070,94.86
25.0,-86.34,1.24,4.74,0.1,317608,43.83
25.0,-84.31,2.96,1.77,0.7,196438,26.61
25.0,-82.28,1.75,2.75,0.62,82849,5.59
25.0,-80.24,4.28,4.73,0.61,282754,9.37
25.0,-78.21,1.19,4.91,0.53,290994,53.64
25.0,-76.17,2.69,2.42,0.04,397245,4.76
25.0,-74.14,3.73,0.79,0.45,470183,40.06
25.0,-72.1,3.98,4.92,0.36,28630,85.36
25.0,-70.07,1.72,0.54,0.98,337062,7.82
25.0,-68.03,0.97,2.93,0.74,358698,75.94
25.0,-66.0,3.93,1.78,0.23,170722,85.84
26.0,-125.0,4.09,3.1,0.37,487092,2.97
26.0,-122.97,0.02,1.19,0.6,179566,41.8
26.0,-120.93,1.23,1.71,0.06,497433,27.19
26.0,-118.9,2.46,1.27,0.02,475288,8.65
26.0,-116.86,3.79,3.65,0.45,110057,75.82
26.0,-114.83,2.69,2.54,0.91,237100,39.9
26.0,-112.79,4.27,1.92,0.77,470928,5.64
26.0,-110.76,3.73,4.61,0.58,243999,19.79
26.0,-108.72,0.05,1.99,0.25,166827,2.05
26.0,-106.69,1.83,1.14,0.08,175605,92.94
26.0,-104.66,1.5,0.7,0.8,442050,47.45
26.0,-102.62,2.92,1.01,0.32,25113,30.64
26.0,-100.59,2.12,2.52,0.28,427847,9.21
26.0,-98.55,0.34,1.27,0.78,405068,21.07
26.0,-96.52,3.81,2.07,0.67,331587,78.64
26.0,-94.48,1.0,4.7,0.8,41563,58.9
26.0,-92.45,2.05,4.39,0.13,182627,67.82
26.0,-90.41,4.48,4.92,0.19,103446,35.96
26.0,-88.38,1.67,3.8,0.57,469596,87.64
26.0,-86.34,3.13,2.7,0.42,275118,69.95
