bus_id,node_lat,node_lon,interconnect_id,zone_name,state_code,num_incident_lines,sum_line_capacity_MW,line_density_within_50km,dist_to_nearest_substation_km,dist_to_nearest_large_generator_km,dist_to_nearest_renewable_plant_km,total_capacity_within_100km_MW,renewable_capacity_within_100km_MW,renewable_share_within_100km,zero_carbon_share_within_100km,zone_peak_demand_MW,zone_mean_demand_MW,dc_load_to_zone_peak_ratio,dc_load_to_zone_mean_ratio,avg_retail_industrial_price_cents_per_kWh,avg_wholesale_price_region,price_volatility_metric,avg_grid_CO2_intensity_kg_per_MWh,marginal_CO2_intensity_kg_per_MWh,renewable_energy_share_in_zone,projected_clean_energy_growth_index,solar_irradiance_index,wind_resource_class,estimated_PV_capacity_factor,estimated_wind_capacity_factor
1,43.9761,-70.2211,Eastern,Maine,,3,410.72,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
2,43.9761,-70.2211,Eastern,Maine,,2,434.61,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
3,43.9761,-70.2211,Eastern,Maine,,1,162.96,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
4,43.9761,-70.2211,Eastern,Maine,,3,821.44,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
5,43.9761,-70.2211,Eastern,Maine,,3,1132.4,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
6,43.9761,-70.2211,Eastern,Maine,,1,0.0,,,129.37687462804658,10.456508852987568,2666.854000000001,612.8140000000002,0.22978910731521107,0.22978910731521107,,,,,,,,,,,,,,,
7,44.101,-70.3053,Eastern,Maine,,5,1673.4099999999999,,,140.18218204627559,3.862281019925207,2669.867000000001,615.8269999999999,0.23065830620027125,0.23065830620027125,,,,,,,,,,,,,,,
8,44.101,-70.3053,Eastern,Maine,,2,426.91,,,140.18218204627559,3.862281019925207,2669.867000000001,615.8269999999999,0.23065830620027125,0.23065830620027125,,,,,,,,,,,,,,,
9,44.101,-70.3053,Eastern,Maine,,1,0.0,,,140.18218204627559,3.862281019925207,2669.867000000001,615.8269999999999,0.23065830620027125,0.23065830620027125,,,,,,,,,,,,,,,
10,44.1799,-70.186,Eastern,Maine,,2,307.75,,,151.5407937979593,2.56627238197757,2729.386000000001,628.803,0.23038258421491126,0.23038258421491126,,,,,,,,,,,,,,,
11,44.1433,-70.2241,Eastern,Maine,,2,295.51,,,146.68722069158267,2.3751160788841537,2682.8430000000008,628.803,0.2343793505620716,0.2343793505620716,,,,,,,,,,,,,,,
12,44.0207,-70.1805,Eastern,Maine,,2,320.59000000000003,,,135.19922999159343,6.234700915490718,2666.7550000000015,612.7150000000001,0.2297605141829676,0.2297605141829676,,,,,,,,,,,,,,,
13,44.2482,-70.1988,Eastern,Maine,,1,0.0,,,158.37435289347442,10.165209810731797,2854.286,703.665999999999,0.24652960495199114,0.24652960495199114,,,,,,,,,,,,,,,
14,44.2482,-70.1988,Eastern,Maine,,3,280.12,,,158.37435289347442,10.165209810731797,2854.286,703.665999999999,0.24652960495199114,0.24652960495199114,,,,,,,,,,,,,,,
15,44.2301,-70.1222,Eastern,Maine,,2,325.59000000000003,,,158.54793162612242,9.761573016568473,2854.7920000000004,704.1719999999991,0.24666315444347575,0.24666315444347575,,,,,,,,,,,,,,,
16,44.2567,-70.0894,Eastern,Maine,,2,338.68,,,162.25146954758608,13.682102349900491,2793.833,704.1719999999991,0.2520451293974977,0.2520451293974977,,,,,,,,,,,,,,,
17,44.3398,-70.0998,Eastern,Maine,,3,355.27,,,170.59643650941678,14.277191823072078,2813.56,723.898999999999,0.25728934161702577,0.25728934161702577,,,,,,,,,,,,,,,
